evTimes	evNumSegs	evMags	evAreas	evSlips	evYearPred1	aveLastEvTime1	evYearPred2	aveLastEvTime2
0	3	6.7445545	3.83312992E8	1.2769006	NaN	NaN	NaN	NaN
5	1	6.4157996	1.57288992E8	0.999724	NaN	NaN	NaN	NaN
13	1	6.734489	1.43276E8	3.29943	NaN	NaN	NaN	NaN
14	1	6.5158615	1.26292E8	1.75912	NaN	NaN	NaN	NaN
15	9	7.4697146	1.36754125E9	4.3803678	NaN	NaN	NaN	NaN
21	1	6.4603696	1.26294E8	1.45228	NaN	NaN	NaN	NaN
24	1	6.67323	1.34906E8	2.83591	NaN	NaN	NaN	NaN
25	1	6.6780405	1.34899008E8	2.88357	NaN	NaN	NaN	NaN
33	1	6.6988683	1.34588E8	3.10581	NaN	NaN	NaN	NaN
33	3	6.925048	3.97E8	2.2996411	NaN	NaN	NaN	NaN
33	1	6.596631	1.48192E8	1.98153	NaN	NaN	NaN	NaN
34	1	6.57599	1.43026E8	1.91183	NaN	NaN	NaN	NaN
39	1	6.6101985	1.48644E8	2.07028	NaN	NaN	NaN	NaN
39	3	7.0559645	4.49416992E8	3.1928327	NaN	NaN	NaN	NaN
39	2	7.0403857	3.33692E8	4.07485	NaN	NaN	NaN	NaN
39	14	7.5563354	2.08464E9	3.8757079	NaN	NaN	NaN	NaN
40	2	6.7675447	2.52098E8	2.10197	NaN	NaN	NaN	NaN
40	4	7.101479	5.9787802E8	2.8085668	NaN	NaN	NaN	NaN
40	1	6.630358	1.72716992E8	1.91021	NaN	NaN	NaN	NaN
44	1	6.5119777	1.5729E8	1.39362	NaN	NaN	NaN	NaN
46	1	6.4835534	1.57288E8	1.26332	NaN	NaN	NaN	NaN
46	1	6.2872105	1.42438E8	0.708058	NaN	NaN	NaN	NaN
47	1	6.571102	1.13812E8	2.36235	NaN	NaN	NaN	NaN
47	1	6.309411	1.53295008E8	0.710342	NaN	NaN	NaN	NaN
47	2	6.576625	2.52786E8	1.084084	NaN	NaN	NaN	NaN
47	1	6.4413476	1.6566E8	1.03677	NaN	NaN	NaN	NaN
50	2	7.0295286	2.69799008E8	4.854355	NaN	NaN	NaN	NaN
53	3	6.8364086	3.82100992E8	1.759194	NaN	NaN	NaN	NaN
53	2	6.734077	2.54319008E8	1.8561604	NaN	NaN	NaN	NaN
53	3	6.950533	4.51934016E8	2.205989	NaN	NaN	NaN	NaN
54	4	7.1455507	5.7592E8	3.3950222	NaN	NaN	NaN	NaN
58	1	6.5138984	1.27767E8	1.72706	69.08239999999999	0.0	58.470400000000005	0.0
60	8	7.3477144	1.07493094E9	3.6565342	NaN	NaN	NaN	NaN
60	2	6.928217	2.86043008E8	3.2268057	NaN	NaN	NaN	NaN
60	1	6.6511545	1.46692992E8	2.41658	NaN	NaN	NaN	NaN
62	1	6.418877	1.57276E8	1.01049	NaN	NaN	NaN	NaN
62	1	6.754046	1.43268992E8	3.53017	NaN	NaN	NaN	NaN
62	1	6.6523	1.26049E8	2.82351	NaN	NaN	NaN	NaN
62	1	6.6030364	1.39512E8	2.1519	NaN	NaN	NaN	NaN
64	1	6.5427594	1.27642E8	1.90996	NaN	NaN	NaN	NaN
69	1	6.454547	1.57288992E8	1.14288	81.19199999999998	5.0	71.64826666666666	5.0
77	6	7.047457	9.3451398E8	1.4910032	NaN	NaN	NaN	NaN
87	2	7.0144844	3.06515008E8	4.0565205	NaN	NaN	NaN	NaN
88	2	6.745867	2.52586E8	1.9465685	98.60704734888975	17.50002771333328	84.40414376357623	17.50002771333328
88	2	6.7949824	2.63068E8	2.214545	NaN	NaN	NaN	NaN
98	2	6.8222585	3.45695008E8	1.8517108	NaN	NaN	NaN	NaN
98	1	6.5763035	1.43026E8	1.9139	97.79666666666667	34.0	97.72766666666666	34.0
98	1	6.749633	1.66766E8	2.9869	NaN	NaN	NaN	NaN
98	1	6.3537087	1.66883008E8	0.760378	NaN	NaN	NaN	NaN
99	1	6.623243	1.6346E8	1.96939	NaN	NaN	NaN	NaN
101	3	7.007665	4.40676E8	2.7558613	NaN	NaN	NaN	NaN
103	1	6.672804	1.34906E8	2.83174	118.39133333333334	24.0	118.53033333333333	24.0
104	1	6.445005	1.57276E8	1.10592	135.728	62.0	129.36599999999999	62.0
105	1	6.678265	1.34899008E8	2.88581	121.19366666666667	25.0	121.11900000000001	25.0
107	2	6.666191	2.55546E8	1.4611546	111.44618507196355	53.0	104.98773731069946	53.0
108	3	7.022838	4.08012992E8	3.1366181	NaN	NaN	NaN	NaN
114	7	7.2152114	1.01289101E9	2.4554615	NaN	NaN	NaN	NaN
115	1	6.5625186	1.27633E8	2.045	NaN	NaN	NaN	NaN
118	4	7.1465125	5.9195021E8	3.3140774	112.47286258122628	15.0	120.02697364853844	15.0
125	1	6.532071	1.26049E8	1.864	117.66666666666669	40.0	121.58583333333334	40.0
126	1	6.766998	1.43276E8	3.69149	136.04966666666667	13.0	122.981	13.0
126	1	6.3701425	1.44944992E8	0.926593	NaN	NaN	NaN	NaN
128	2	7.0792212	2.97169984E8	5.23246	NaN	NaN	NaN	NaN
128	8	7.490879	1.21861696E9	5.2884693	NaN	NaN	NaN	NaN
129	3	6.9179335	3.97E8	2.2438233	125.38917704362017	33.0	127.67256638488666	33.0
129	2	6.577621	3.19335008E8	0.86111957	NaN	NaN	NaN	NaN
129	3	6.805393	4.58583008E8	1.3168926	NaN	NaN	NaN	NaN
130	1	6.6168633	1.26049E8	2.49824	144.09333333333336	40.0	133.57833333333332	40.0
133	2	6.7076445	2.41579008E8	1.7835532	124.15983930888032	52.817711804420085	133.87195132358357	52.817711804420085
133	1	6.170131	1.56635008E8	0.429721	NaN	NaN	NaN	NaN
134	2	7.0416813	3.26492E8	4.18339	NaN	NaN	NaN	NaN
134	1	6.5363665	1.67188E8	1.42634	NaN	NaN	NaN	NaN
136	9	7.4461074	1.15306394E9	4.788354	NaN	NaN	NaN	NaN
136	8	7.28542	1.10020198E9	2.8809552	NaN	NaN	NaN	NaN
136	1	6.584389	1.3415E8	2.09832	NaN	NaN	NaN	NaN
136	3	6.858988	4.07855008E8	1.7817836	NaN	NaN	NaN	NaN
